Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
15,AM,8:30-10:00,w1,1,1,1,0,0,0,0,0,0,0,0,1
15,AM,8:30-10:00,w2,0,0,0,1,0,1,0,0,1,0,1,0
15,AM,8:30-10:00,w3,0,0,0,0,1,0,1,1,0,1,0,0
15,AM,10:30-12:00,w3,0,0,0,0,1,0,1,1,0,1,0,0
15,AM,10:30-12:00,w1,1,1,1,0,0,0,0,0,0,0,0,1
15,AM,10:30-12:00,w2,0,0,0,1,0,1,0,0,1,0,1,0
16,AM,8:30-10:00,w1,0,0,0,1,1,0,0,0,0,1,1,0
16,AM,8:30-10:00,w2,1,1,0,0,0,0,1,1,0,0,0,0
16,AM,8:30-10:00,w3,0,0,1,0,0,1,0,0,1,0,0,1
16,AM,10:30-12:00,w1,0,0,0,1,1,0,0,0,0,1,1,0
16,AM,10:30-12:00,w2,1,1,0,0,0,0,1,1,0,0,0,0
16,AM,10:30-12:00,w3,0,0,1,0,0,1,0,0,1,0,0,1
16,PM,1:00-2:30,w1,0,0,0,0,0,1,1,1,1,0,0,0
16,PM,1:00-2:30,w2,0,0,1,0,1,0,0,0,0,1,0,1
16,PM,1:00-2:30,w3,1,1,0,1,0,0,0,0,0,0,1,0
16,PM,3:00-4:30,w1,0,0,0,0,0,1,1,1,1,0,0,0
16,PM,3:00-4:30,w2,0,0,1,0,1,0,0,0,0,1,0,1
16,PM,3:00-4:30,w3,1,1,0,1,0,0,0,0,0,0,1,0
